plate_id,plate_index,row,column,sample_id
plate2,88,H,4,t_2043
plate2,89,H,5,t_3040
plate2,90,H,6,t_2020
plate2,91,H,7,t_1040
plate2,92,H,8,kac_161
plate2,93,H,9,kac_187
plate2,94,H,10,kac_211
plate2,95,H,11,kac_221
plate2,96,H,12,kac_232
plate3,1,A,1,kac_2018-02-17-01
plate3,2,A,2,kac_2018-02-17-04
plate3,3,A,3,kac_2018-02-17-05
plate3,4,A,4,kac_2018-02-17-06
plate3,5,A,5,kac_2018-02-17-07
plate3,6,A,6,kac_2018-03-10-1
plate3,7,A,7,kac_2018-03-10-2
plate3,8,A,8,kac_2018-03-10-3
plate3,9,A,9,kac_2018-03-10-4
plate3,10,A,10,kac_2018-03-10-5
plate3,11,A,11,kac_2018-08-18-1
plate3,12,A,12,kac_2018-08-18-2
plate3,13,B,1,kac_2018-08-18-3
plate3,14,B,2,kac_2018-08-18-4
plate3,15,B,3,kac_2019-08-25-1
plate3,16,B,4,kac_2019-08-25-2
plate3,17,B,5,msb_75646
plate3,18,B,6,msb_92689
plate3,19,B,7,msb_92691
plate3,20,B,8,msb_92692
plate3,21,B,9,msb_96528
plate3,22,B,10,msb_98058
plate3,23,B,11,msb_98065
plate3,24,B,12,msb_100793
plate3,25,C,1,msb_100800
plate3,26,C,2,msb_100913
plate3,27,C,3,msb_104548
plate3,28,C,4,msb_104570
plate3,29,C,5,msb_104571
plate3,30,C,6,msb_104608
plate3,31,C,7,msb_104644
plate3,32,C,8,msb_104677
plate3,33,C,9,msb_104681
plate3,34,C,10,msb_104731
plate3,35,C,11,utep_18705
plate3,36,C,12,utep_19941
plate3,37,D,1,utep_19943
plate3,38,D,2,utep_19947
plate3,39,D,3,utep_20105
plate3,40,D,4,utep_20482
plate3,41,D,5,utep_20921
plate3,42,D,6,utep_21284
plate3,43,D,7,utep_21286
plate3,44,D,8,utep_21724
plate3,45,D,9,utep_21881
plate3,46,D,10,utep_21884
plate3,47,D,11,utep_21885
plate3,48,D,12,utep_21886
plate3,49,E,1,aht_1975
plate3,50,E,2,aht_2456
plate3,51,E,3,aht_2544
plate3,52,E,4,aht_2564
plate3,53,E,5,aht_2885
plate3,54,E,6,aht_3413
plate3,55,E,7,aht_3419
plate3,56,E,8,aht_3421
plate3,57,E,9,aht_3428
plate3,58,E,10,aht_3459
plate3,59,E,11,aht_3460
plate3,60,E,12,aht_3461
plate3,61,F,1,aht_3462
plate3,62,F,2,aht_3463
plate3,63,F,3,aht_3658
plate3,64,F,4,aht_3665
plate3,65,F,5,aht_3813
plate3,66,F,6,aht_3833
plate3,67,F,7,aht_3997
plate3,68,F,8,aht_3998
plate3,69,F,9,aht_4373
plate3,70,F,10,aht_5276
plate3,71,F,11,aht_5277
plate3,72,F,12,aht_5278
plate3,73,G,1,hera_10025
plate3,74,G,2,hera_10233
plate3,75,G,3,hera_10239
plate3,76,G,4,hera_10248
plate3,77,G,5,hera_10255
plate3,78,G,6,hera_10350
plate3,79,G,7,hera_10372
plate3,80,G,8,hera_10396
plate3,81,G,9,hera_10484
plate3,82,G,10,hera_10493
plate3,83,G,11,hera_11976
plate3,84,G,12,hera_13722
plate3,85,H,1,hera_14196
plate3,86,H,2,hera_14926
plate3,87,H,3,hera_15787
plate3,88,H,4,hera_20415
plate3,89,H,5,hera_20514
plate3,90,H,6,inhs_16273
plate3,91,H,7,inhs_17016
plate3,92,H,8,inhs_19127
plate3,93,H,9,inhs_21799
plate3,94,H,10,kac_62
plate3,95,H,11,kac_63
plate3,96,H,12,kac_64
