standardized,sample-prefix,sample-id,species,sex,latitude,longitude,year,month
1,kac,60,speciosus,?,27.691851,-99.719553,2018,6
1,kac,61,punctatus,?,29.4360341,-103.5056372,2018,5
1,kac,62,punctatus,?,29.4360341,-103.5056372,2018,5
1,kac,63,speciosus,?,29.29522,-103.92916,2018,5
1,kac,64,speciosus,?,29.29522,-103.92916,2018,5
1,kac,65,terrestris,j,30.432818,-81.640876,2018,8
1,kac,66,terrestris,j,30.432818,-81.640876,2018,8
1,kac,67,terrestris,j,30.432818,-81.640876,2018,8
1,kac,70,americanus,f,34.799628,-84.576776,2018,9
1,kac,71,terrestris,m,32.434779,-85.6463,2018,10
1,kac,74,terrestris,j,30.7743,-85.2269,2018,11
1,kac,75,americanus,m,32.94778,-86.632244,2019,2
1,kac,76,terrestris,m,32.949704,-86.526874,2019,2
1,kac,77,terrestris,m,32.949704,-86.526874,2019,2
1,kac,78,americanus,m,33.002665,-86.389597,2019,2
1,kac,79,americanus,m,33.012055,-86.478723,2019,2
1,kac,80,americanus,m,33.044558,-86.455469,2019,2
1,kac,81,americanus,f,33.044558,-86.455469,2019,2
1,kac,82,americanus,m,33.044558,-86.455469,2019,2
1,kac,83,americanus,m,33.044558,-86.455469,2019,2
1,kac,84,americanus,m,33.044558,-86.455469,2019,2
1,kac,85,americanus,m,33.044558,-86.455469,2019,2
1,kac,86,americanus,m,33.044558,-86.455469,2019,2
1,kac,87,americanus,m,33.014843,-86.390403,2019,2
1,kac,88,americanus,m,33.014843,-86.390403,2019,2
1,kac,89,americanus,m,33.014843,-86.390403,2019,2
1,kac,90,americanus,m,33.064717,-86.474958,2019,2
1,kac,91,americanus,f,33.064717,-86.474958,2019,2
1,kac,92,americanus,m,33.064717,-86.474958,2019,2
1,kac,93,americanus,m,33.064717,-86.474958,2019,2
1,kac,94,americanus,m,33.064717,-86.474958,2019,2
1,kac,95,americanus,m,33.064717,-86.474958,2019,2
1,kac,96,americanus,m,33.064717,-86.474958,2019,2
1,kac,97,americanus,f,33.064717,-86.474958,2019,2
1,kac,98,americanus,f,33.025724,-86.467107,2019,2
1,kac,99,americanus,f,33.025724,-86.467107,2019,2
1,kac,100,terrestris,m,32.923743,-86.671995,2019,2
1,kac,101,americanus,f,33.032829,-86.459752,2019,2
1,kac,102,terrestris,m,32.945435,-86.557771,2019,2
1,kac,103,terrestris,f,32.94947,-86.526299,2019,2
1,kac,104,terrestris,f,32.94947,-86.526299,2019,2
1,kac,105,americanus,f,33.042782,-86.453772,2019,2
1,kac,106,americanus,f,33.004635,-86.49692,2019,2
1,kac,107,americanus,f,33.014161,-86.384167,2019,2
1,kac,108,terrestris,m,32.940128,-86.540042,2019,2
1,kac,109,terrestris,m,32.941729,-86.557867,2019,2
1,kac,110,americanus,m,33.030987,-86.409405,2019,2
1,kac,111,americanus,m,33.005181,-86.498948,2019,2
1,kac,112,terrestris,m,32.950115,-86.537227,2019,2
1,kac,113,americanus,m,33.005279,-86.388972,2019,2
1,kac,114,americanus,f,33.016167,-86.403184,2019,2
1,kac,115,americanus,f,32.98218,-86.404875,2019,2
1,kac,116,americanus,f,32.969645,-86.421375,2019,2
1,kac,117,?,?,32.971456,-86.529008,2019,2
1,kac,121,terrestris,f,32.441195,-85.653856,2019,2
1,kac,122,terrestris,m,32.854106,-86.766186,2019,4
1,kac,123,terrestris,m,32.900844,-86.675872,2019,4
1,kac,124,terrestris,f,32.910603,-86.678496,2019,4
1,kac,125,terrestris,f,32.917147,-86.682083,2019,4
1,kac,126,terrestris,m,32.927167,-86.674068,2019,4
1,kac,127,terrestris,f,32.971593,-86.625164,2019,4
1,kac,128,terrestris,m,33.005855,-86.63703,2019,4
1,kac,129,terrestris,m,33.007967,-86.642098,2019,4
1,kac,130,terrestris,m,33.008185,-86.643333,2019,4
1,kac,131,terrestris,m,33.015085,-86.649372,2019,4
1,kac,132,terrestris,m,33.020339,-86.666505,2019,4
1,kac,133,terrestris,f,33.01163,-86.647591,2019,4
1,kac,134,terrestris,m,33.005369,-86.636515,2019,4
1,kac,135,terrestris,f,33.00644,-86.633682,2019,4
1,kac,136,terrestris,m,33.006733,-86.633158,2019,4
1,kac,137,americanus,?,33.014605,-86.609529,2019,4
1,kac,138,americanus,?,32.702242,-85.661958,2019,4
1,kac,139,americanus,?,32.730416,-85.661728,2019,4
1,kac,140,terrestris,?,32.625533,-85.636835,2019,4
1,kac,141,terrestris,?,32.410323,-85.601075,2019,4
1,kac,142,terrestris,?,32.570111,-85.808878,2019,4
1,kac,143,terrestris,?,32.477727,-85.798238,2019,4
1,kac,144,terrestris,?,32.477069,-85.795772,2019,4
1,kac,145,terrestris,?,32.481285,-85.763541,2019,4
1,kac,146,terrestris,?,32.482906,-85.756219,2019,4
1,kac,147,terrestris,?,32.450012,-85.796522,2019,4
1,kac,148,terrestris,?,32.454201,-85.794082,2019,4
1,kac,149,terrestris,?,32.454491,-85.786639,2019,4
1,kac,150,terrestris,?,32.454491,-85.786639,2019,4
1,kac,151,terrestris,?,32.45451,-85.784163,2019,4
1,kac,152,terrestris,?,32.454233,-85.776336,2019,4
1,kac,153,terrestris,?,32.454233,-85.776336,2019,4
1,kac,154,terrestris,?,32.465744,-85.769772,2019,4
1,kac,155,terrestris,?,32.469615,-85.773691,2019,4
1,kac,156,terrestris,?,32.477095,-85.791747,2019,4
1,kac,157,fowleri,m,32.437695,-85.636201,2019,4
1,kac,158,terrestris,?,32.477095,-85.791747,2019,4
1,kac,159,terrestris,?,32.490004,-85.797409,2019,4
1,kac,160,terrestris,?,32.408088,-85.478571,2019,4
1,kac,161,terrestris,?,32.417444,-85.471168,2019,4
1,kac,162,terrestris,?,32.35417,-86.098383,NA,NA
1,kac,163,terrestris,?,32.339941,-86.099463,NA,NA
1,kac,164,terrestris,?,32.315622,-86.137894,NA,NA
1,kac,165,americanus,m,32.663564,-85.484982,2018,4
1,kac,166,americanus,j,32.663564,-85.484982,2018,4
1,kac,167,americanus,f,33.066201,-86.603276,2019,4
1,kac,172,?,f,32.621711,-85.614672,2019,5
1,kac,173,americanus,f,32.617511,-85.643347,2019,5
1,kac,174,?,f,32.629382,-85.638284,2019,5
1,kac,175,?,f,32.648495,-85.647115,2019,5
1,kac,176,americanus,f,32.668357,-85.662326,2019,5
1,kac,177,americanus,f,32.655707,-85.571337,2019,5
1,kac,178,fowleri,m,32.386444,-85.235611,2019,5
1,kac,179,fowleri,m,32.386444,-85.235611,2019,5
1,kac,180,fowleri,m,32.386444,-85.235611,2019,5
1,kac,181,terrestris,m,32.386444,-85.235611,2019,5
1,kac,182,terrestris,m,32.385793,-85.235653,2019,5
1,kac,183,terrestris,m,32.385793,-85.235653,2019,5
1,kac,184,terrestris,m,32.385793,-85.235653,2019,5
1,kac,185,terrestris,m,32.385793,-85.235653,2019,5
1,kac,186,fowleri,m,32.385793,-85.235653,2019,5
1,kac,187,americanus,m,32.645479,-85.551346,2020,2
1,kac,188,terrestris,f,32.409763,-85.602077,2020,2
1,kac,189,terrestris,f,33.091522,-86.566863,2020,3
1,kac,190,terrestris,f,33.112983,-86.694343,2020,3
1,kac,191,terrestris,m,33.106591,-86.682277,2020,3
1,kac,192,terrestris,f,33.105093,-86.680138,2020,3
1,kac,193,terrestris,f,33.07896,-86.672859,2020,3
1,kac,194,terrestris,m,32.939331,-86.620078,2020,3
1,kac,195,terrestris,f,32.947455,-86.621458,2020,3
1,kac,196,terrestris,f,32.948288,-86.621901,2020,3
1,kac,197,terrestris,m,32.949291,-86.622407,2020,3
1,kac,198,terrestris,j,32.950771,-86.623061,2020,3
1,kac,199,terrestris,f,32.957938,-86.624769,2020,3
1,kac,200,terrestris,f,32.959396,-86.624885,2020,3
1,kac,201,terrestris,m,32.962115,-86.624654,2020,3
1,kac,202,americanus,f,33.251041,-86.438502,2020,3
1,kac,203,fowleri,m,32.622944,-85.496597,2020,4
1,kac,204,americanus,j,32.622944,-85.496597,2020,4
1,kac,205,americanus,m,32.548519,-85.486919,2020,3
1,kac,206,terrestris,f,33.307591,-86.582013,2020,4
1,kac,207,terrestris,j,33.316847,-86.575965,2020,4
1,kac,208,americanus,m,33.098294,-86.565293,2020,4
1,kac,209,americanus,f,33.086002,-86.563938,2020,4
1,kac,210,americanus,m,33.086002,-86.563938,2020,4
1,kac,211,terrestris,m,33.014643,-86.609949,2020,4
1,kac,212,terrestris,m,33.012085,-86.617071,2020,4
1,kac,213,terrestris,f,33.004352,-86.637099,2020,4
1,kac,214,americanus,m,32.999914,-86.641813,2020,4
1,kac,215,terrestris,m,32.996047,-86.645262,2020,4
1,kac,216,terrestris,f,33.013457,-86.6096,2020,4
1,kac,217,terrestris,m,32.914699,-86.602699,2020,4
1,kac,218,terrestris,m,32.924322,-86.598953,2020,4
1,kac,219,terrestris,f,32.93987,-86.561135,2020,4
1,kac,220,americanus,m,32.96579,-86.508917,2020,4
1,kac,221,americanus,j,32.963888,-86.425495,2020,4
1,kac,223,americanus,m,32.533621,-85.798389,2020,4
1,kac,224,americanus,f,32.48869,-85.795555,2020,4
1,kac,225,americanus,f,32.501593,-85.798595,2020,4
1,kac,226,americanus,m,32.481193,-85.798379,2020,4
1,kac,230,terrestris,m,30.809332,-86.776858,2020,5
1,kac,231,terrestris,m,30.809332,-86.776858,2020,5
1,kac,232,terrestris,?,30.809216,-86.789938,2020,5
1,kac,233,terrestris,?,30.809216,-86.789938,2020,5
1,kac,234,terrestris,?,30.809216,-86.789938,2020,5
1,kac,235,terrestris,?,30.816707,-86.793318,2020,5
1,kac,236,terrestris,?,30.826322,-86.802577,2020,5
1,kac,237,terrestris,?,30.837332,-86.7763,2020,5
1,kac,238,terrestris,?,30.824332,-86.762838,2020,5
1,kac,239,terrestris,?,30.8016249,-86.7665909,2020,5
1,kac,240,americanus,f,32.6432798,-85.3711405,2020,6
1,kac,241,americanus,f,32.6432798,-85.3711405,2020,6
1,kac,242,americanus,m,34.504456,-85.637683,2020,7
1,kac,244,americanus,m,32.8926113,-93.8875622,2021,9
1,kac,2018-02-17-01,americanus,?,33.55274,-85.829132,2018,2
1,kac,2018-02-17-02,americanus,?,33.524395,-85.827589,2018,2
1,kac,2018-02-17-03,americanus,?,33.474224,-85.836814,2018,2
1,kac,2018-02-17-04,americanus,?,33.485484,-85.888566,2018,2
1,kac,2018-02-17-05,americanus,?,33.316494,-86.052932,2018,2
1,kac,2018-02-17-06,americanus,?,33.284428,-86.084432,2018,2
1,kac,2018-02-17-07,americanus,?,33.245762,-86.081675,2018,2
1,kac,2018-03-10-1,americanus,?,32.910571,-86.092722,2018,3
1,kac,2018-03-10-2,americanus,?,32.931161,-86.084646,2018,3
1,kac,2018-03-10-3,americanus,?,32.951037,-86.145395,2018,3
1,kac,2018-03-10-4,americanus,?,32.897867,-86.26061,2018,3
1,kac,2018-03-10-5,americanus,?,32.816418,-86.38018,2018,3
1,kac,2018-08-18-1,terrestris,?,30.669021,-81.440135,2018,8
1,kac,2018-08-18-2,terrestris,?,30.669021,-81.440135,2018,8
1,kac,2018-08-18-3,terrestris,?,30.432818,-81.640876,2018,8
1,kac,2018-08-18-4,terrestris,?,30.669021,-81.440135,2018,8
1,kac,2019-08-25-1,americanus,j,34.218521,-87.366617,2019,8
1,kac,2019-08-25-2,americanus,j,34.218521,-87.366617,2019,8
,msb,75646,speciosus,,33.36365042,-104.3428216,2009,
,msb,92689,baxteri,,41.211821,-105.8255766,2002,
,msb,92690,baxteri,,41.211821,-105.8255766,2002,
,msb,92691,baxteri,,41.211821,-105.8255766,2002,
,msb,92692,baxteri,,41.211821,-105.8255766,2002,
,msb,96528,debilis,,32.582385,-107.463482,2015,
,msb,98058,woodhousii,,32.8336,-108.609,2017,
,msb,98065,cognatus,,32.6324,-108.738,2016,
,msb,98144,speciosus,,32.0059,-104.2203,2015,
,msb,100793,microscaphus,,37.27153801,-114.464781,2020,
,msb,100800,woodhousii ?,,36.73611667,-114.2197167,2020,
,msb,100913,microscaphus,,33.280379,-108.088683,2020,
,msb,104548,woodhousii,,36.49094,-103.20838,2021,
,msb,104570,fowleri / woodhousii intergrade,,34.00087,-95.38229,2021,
,msb,104571,americanus,,34.00917,-95.38058,2021,
,msb,104608,americanus,,34.00367,-94.8267,2021,
,msb,104644,americanus,,36.95124,-94.27782,2021,
,msb,104677,cognatus,,46.39834,-97.20927,2021,
,msb,104681,hemiophrys,,46.47076,-97.04604,2021,
,msb,104731,woodhousii,,42.61091,-100.65607,2021,
1,t,1004,terrestris,f,31.990158,-85.070458,2018,?
1,t,1020,terrestris,m,31.107834,-86.622468,2017,?
1,t,1030,terrestris,f,31.990423,-85.074232,2018,?
1,t,1040,terrestris,m,31.990158,-85.070458,2018,?
1,t,2004,americanus,f,33.582946,-85.73524,2018,?
1,t,2015,americanus,m,33.584347,-85.740643,2018,?
1,t,2020,americanus,f,33.238526,-85.962698,2017,?
1,t,2040,americanus,m,33.582945,-85.735393,2018,?
1,t,2043,americanus,f,32.816418,-86.38018,2018,?
1,t,3040,fowleri,m,?,?,2018,?
,utep,18705,woodhousii,,32.45198333,-106.8831667,2002,
,utep,19941,woodhousii,,34.79136667,-88.95715,2009,
,utep,19943,woodhousii,,33.81998333,-88.29533333,2009,
,utep,19947,terrestris,,31.22431667,-88.77548333,2009,
,utep,20105,woodhousii,,33.62853333,-103.0819833,2010,
,utep,20482,velatus,,,,,
,utep,20921,woodhousii,,35.55405,-91.83443333,2014,
,utep,21284,debilis,,31.25968,-105.33402,2015,
,utep,21286,speciosus,,31.7014,-105.47958,2015,
,utep,21724,speciosus,,31.26087,-104.60168,2017,
,utep,21881,cognatus,,35.536,-100.44035,2018,
,utep,21884,speciosus,,32.75471667,-101.4320833,2018,
,utep,21885,speciosus,,32.20195,-100.34345,2018,
,utep,21886,woodhousii,,35.078,-100.4339167,2018,
